"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IFI27L22",1.93639044122018e-05,1.41659939462001,0.487,0.255,0.0580917132366053,"14","IFI27L2"
"MAGED12",1.99560685433699e-05,1.254780281339,0.564,0.416,0.0598682056301096,"14","MAGED1"
"NBR24",2.04637294263471e-05,0.774726308825169,0.442,0.386,0.0613911882790412,"14","NBR2"
"TBL1XR14",2.0930955072233e-05,0.333466261811864,0.603,0.445,0.062792865216699,"14","TBL1XR1"
"COLEC122",2.17057409468709e-05,2.3463178823355,0.462,0.367,0.0651172228406126,"14","COLEC12"
"SPON22",2.21186600115133e-05,0.640448393947736,0.583,0.417,0.06635598003454,"14","SPON2"
"IGFBP35",2.37282916355785e-05,4.14965061234817,0.385,0.219,0.0711848749067354,"14","IGFBP3"
"MAT2A",2.52458549133164e-05,10.3682813986357,0.513,0.396,0.0757375647399492,"14","MAT2A"
"RTN41",2.70615734549433e-05,0.44293179562433,0.564,0.432,0.0811847203648298,"14","RTN4"
"NSMCE24",2.77376645105756e-05,0.469890096328825,0.545,0.424,0.0832129935317269,"14","NSMCE2"
"CCDC914",3.08288987807527e-05,0.57134507595286,0.551,0.436,0.0924866963422581,"14","CCDC91"
"MT-CO36",3.17201699760309e-05,0.56212652784026,0.583,0.463,0.0951605099280928,"14","MT-CO3"
"RHOB4",4.12683078199212e-05,2.63920323360895,0.564,0.39,0.123804923459764,"14","RHOB"
"PTPRB2",4.39170902270076e-05,1.78257657274747,0.295,0.189,0.131751270681023,"14","PTPRB"
"DDAH22",4.59954002148072e-05,0.350064570537313,0.538,0.408,0.137986200644422,"14","DDAH2"
"ENSG000002911772",4.64649460431404e-05,1.108560127696,0.263,0.29,0.139394838129421,"14","ENSG00000291177"
"SMCO43",5.02765103630322e-05,2.0335999937168,0.526,0.406,0.150829531089097,"14","SMCO4"
"MAPRE21",5.03809054144691e-05,3.9808428066552,0.25,0.195,0.151142716243407,"14","MAPRE2"
"PKD21",5.28765779170266e-05,2.82707124780063,0.532,0.389,0.15862973375108,"14","PKD2"
"DIP2B3",7.56855591197726e-05,0.415635716975583,0.532,0.415,0.227056677359318,"14","DIP2B"
"ENSG000002553671",7.89459595812644e-05,3.28116261711884,0.25,0.205,0.236837878743793,"14","ENSG00000255367"
"COPB2-DT3",7.97404879055238e-05,0.261461898749434,0.551,0.42,0.239221463716572,"14","COPB2-DT"
"FRMD55",0.000101107410876947,1.28111933302268,0.429,0.359,0.30332223263084,"14","FRMD5"
"TSPYL22",0.000105246152891075,0.584220307666222,0.25,0.265,0.315738458673226,"14","TSPYL2"
"CECR24",0.000107188104113462,2.45822362562031,0.359,0.259,0.321564312340387,"14","CECR2"
"RAP1GAP21",0.000111572932479579,1.16865333126628,0.596,0.416,0.334718797438738,"14","RAP1GAP2"
"ERN14",0.000111687761407463,3.26312172771284,0.506,0.386,0.335063284222388,"14","ERN1"
"C8orf34-AS1",0.000116992684750812,1.74053329970575,0.288,0.175,0.350978054252435,"14","C8orf34-AS1"
"DIPK1A2",0.000117798212189772,1.33778731869716,0.301,0.234,0.353394636569316,"14","DIPK1A"
"CBR44",0.00013468066502315,0.357705200528784,0.487,0.399,0.404041995069449,"14","CBR4"
"LPCAT33",0.000138550838836071,0.905317840801164,0.571,0.434,0.415652516508214,"14","LPCAT3"
"TACC24",0.000143185057460058,0.651644156588777,0.59,0.452,0.429555172380173,"14","TACC2"
"FLNB4",0.000151595228046879,0.979946373147139,0.545,0.41,0.454785684140636,"14","FLNB"
"CMIP3",0.00015406538094201,0.522449571271955,0.558,0.413,0.462196142826029,"14","CMIP"
"TLE12",0.000164769357743273,2.28352995709445,0.494,0.314,0.49430807322982,"14","TLE1"
"DHCR246",0.000182104089779261,0.375531635601283,0.5,0.406,0.546312269337783,"14","DHCR24"
"PACSIN23",0.000183679941229181,0.873327911359534,0.558,0.447,0.551039823687543,"14","PACSIN2"
"DENND5A1",0.000191246531526808,2.15163690361413,0.391,0.331,0.573739594580425,"14","DENND5A"
"FRAS11",0.000195242631647214,2.42355849083882,0.571,0.386,0.585727894941643,"14","FRAS1"
"NFAT54",0.00019929659282319,1.08496693544238,0.571,0.445,0.597889778469571,"14","NFAT5"
"SUMF11",0.000200929196168979,0.293063441820896,0.532,0.409,0.602787588506937,"14","SUMF1"
"KDM4B3",0.000228385794312221,1.48798561971887,0.538,0.423,0.685157382936664,"14","KDM4B"
"PCNX15",0.000229498879331402,0.445934583333247,0.442,0.376,0.688496637994206,"14","PCNX1"
"PLPP22",0.000229756467412993,0.613995915150353,0.564,0.418,0.68926940223898,"14","PLPP2"
"LINC023151",0.000253294727888841,3.27689205120106,0.494,0.381,0.759884183666522,"14","LINC02315"
"MBP4",0.00025544275719032,0.557712842053164,0.397,0.369,0.76632827157096,"14","MBP"
